id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET_1,FACE_DETECT,1,0,799,9, 0, 0, 840,Firefox_68_Windows,LARGE
1,DATASET_1,FACE_DETECT,0,0,740,8, 0, 0, 774,Firefox_68_Windows,LARGE
2,DATASET_1,FACE_DETECT,1,0,724,4, 0, 0, 757,Firefox_68_Windows,LARGE
3,DATASET_1,FACE_DETECT,0,0,741,5, 0, 0, 779,Firefox_68_Windows,LARGE
4,DATASET_1,FACE_DETECT,1,0,840,11, 0, 0, 901,Firefox_68_Windows,LARGE
5,DATASET_1,FACE_DETECT,0,0,917,4, 0, 0, 960,Firefox_68_Windows,LARGE
6,DATASET_1,FACE_DETECT,1,0,789,7, 0, 0, 842,Firefox_68_Windows,LARGE
7,DATASET_1,FACE_DETECT,1,0,743,5, 0, 0, 792,Firefox_68_Windows,LARGE
8,DATASET_1,FACE_DETECT,0,0,710,5, 0, 0, 750,Firefox_68_Windows,LARGE
9,DATASET_1,FACE_DETECT,1,0,687,4, 0, 0, 732,Firefox_68_Windows,LARGE
10,DATASET_1,FACE_DETECT,2,0,828,3, 0, 0, 869,Firefox_68_Windows,LARGE
11,DATASET_1,FACE_DETECT,2,0,758,3, 0, 0, 796,Firefox_68_Windows,LARGE
12,DATASET_1,FACE_DETECT,2,0,770,4, 0, 0, 810,Firefox_68_Windows,LARGE
13,DATASET_1,FACE_DETECT,1,0,800,4, 0, 0, 842,Firefox_68_Windows,LARGE
14,DATASET_1,FACE_DETECT,2,0,794,4, 0, 0, 845,Firefox_68_Windows,LARGE
15,DATASET_1,FACE_DETECT,0,0,863,3, 0, 0, 902,Firefox_68_Windows,LARGE
16,DATASET_1,FACE_DETECT,1,0,831,8, 0, 0, 874,Firefox_68_Windows,LARGE
17,DATASET_1,FACE_DETECT,2,0,815,4, 0, 0, 855,Firefox_68_Windows,LARGE
18,DATASET_1,FACE_DETECT,1,0,803,5, 0, 0, 843,Firefox_68_Windows,LARGE
19,DATASET_1,FACE_DETECT,0,0,1123,5, 0, 0, 1165,Firefox_68_Windows,LARGE
20,DATASET_1,FACE_DETECT,0,0,1066,6, 0, 0, 1111,Firefox_68_Windows,LARGE
21,DATASET_1,FACE_DETECT,1,0,1190,4, 0, 0, 1233,Firefox_68_Windows,LARGE
22,DATASET_1,FACE_DETECT,0,0,1092,5, 0, 0, 1137,Firefox_68_Windows,LARGE
23,DATASET_1,FACE_DETECT,0,0,1116,4, 0, 0, 1168,Firefox_68_Windows,LARGE
24,DATASET_1,FACE_DETECT,0,0,1076,6, 0, 0, 1109,Firefox_68_Windows,LARGE
25,DATASET_1,FACE_DETECT,0,0,1087,3, 0, 0, 1125,Firefox_68_Windows,LARGE
26,DATASET_1,FACE_DETECT,0,0,1055,3, 0, 0, 1093,Firefox_68_Windows,LARGE
27,DATASET_1,FACE_DETECT,1,0,1068,6, 0, 0, 1116,Firefox_68_Windows,LARGE
28,DATASET_1,FACE_DETECT,0,0,1024,6, 0, 0, 1067,Firefox_68_Windows,LARGE
29,DATASET_1,FACE_DETECT,1,0,1009,4, 1, 0, 1056,Firefox_68_Windows,LARGE
30,DATASET_1,FACE_DETECT,0,0,1028,4, 0, 0, 1068,Firefox_68_Windows,LARGE
31,DATASET_1,FACE_DETECT,0,0,1036,7, 0, 0, 1080,Firefox_68_Windows,LARGE
32,DATASET_1,FACE_DETECT,0,0,1066,7, 0, 0, 1100,Firefox_68_Windows,LARGE
33,DATASET_1,FACE_DETECT,0,0,779,8, 0, 0, 838,Firefox_68_Windows,LARGE
34,DATASET_1,FACE_DETECT,0,0,807,4, 0, 0, 848,Firefox_68_Windows,LARGE
35,DATASET_1,FACE_DETECT,1,0,752,6, 0, 0, 800,Firefox_68_Windows,LARGE
36,DATASET_1,FACE_DETECT,0,0,666,5, 0, 0, 717,Firefox_68_Windows,LARGE
37,DATASET_1,FACE_DETECT,0,0,578,4, 0, 0, 625,Firefox_68_Windows,LARGE
38,DATASET_1,FACE_DETECT,0,0,699,5, 0, 0, 743,Firefox_68_Windows,LARGE
39,DATASET_1,FACE_DETECT,0,0,677,4, 0, 0, 718,Firefox_68_Windows,LARGE
40,DATASET_1,FACE_DETECT,0,0,877,5, 0, 0, 924,Firefox_68_Windows,LARGE
41,DATASET_1,FACE_DETECT,0,0,769,5, 0, 0, 802,Firefox_68_Windows,LARGE
42,DATASET_1,FACE_DETECT,2,0,867,8, 0, 0, 935,Firefox_68_Windows,LARGE
43,DATASET_1,FACE_DETECT,1,0,978,6, 0, 0, 1016,Firefox_68_Windows,LARGE
44,DATASET_1,FACE_DETECT,1,0,931,6, 0, 0, 973,Firefox_68_Windows,LARGE
45,DATASET_1,FACE_DETECT,1,0,825,4, 0, 0, 866,Firefox_68_Windows,LARGE
46,DATASET_1,FACE_DETECT,0,0,798,6, 0, 0, 846,Firefox_68_Windows,LARGE
47,DATASET_1,FACE_DETECT,1,0,967,3, 0, 0, 994,Firefox_68_Windows,LARGE
48,DATASET_1,FACE_DETECT,2,0,1011,4, 0, 0, 1057,Firefox_68_Windows,LARGE
49,DATASET_1,FACE_DETECT,1,0,948,6, 1, 0, 978,Firefox_68_Windows,LARGE
50,DATASET_1,FACE_DETECT,0,0,972,6, 0, 0, 1001,Firefox_68_Windows,LARGE
51,DATASET_1,FACE_DETECT,1,0,925,3, 0, 0, 965,Firefox_68_Windows,LARGE
52,DATASET_1,FACE_DETECT,1,0,942,5, 0, 0, 984,Firefox_68_Windows,LARGE
53,DATASET_1,FACE_DETECT,2,0,915,4, 1, 0, 963,Firefox_68_Windows,LARGE
54,DATASET_1,FACE_DETECT,2,0,902,4, 0, 0, 949,Firefox_68_Windows,LARGE
55,DATASET_1,FACE_DETECT,1,0,917,5, 0, 0, 958,Firefox_68_Windows,LARGE
56,DATASET_1,FACE_DETECT,2,0,933,5, 1, 0, 975,Firefox_68_Windows,LARGE
57,DATASET_1,FACE_DETECT,2,0,1032,5, 0, 0, 1077,Firefox_68_Windows,LARGE
58,DATASET_1,FACE_DETECT,1,0,994,5, 0, 0, 1032,Firefox_68_Windows,LARGE
59,DATASET_1,FACE_DETECT,1,0,643,5, 0, 0, 689,Firefox_68_Windows,LARGE
60,DATASET_1,FACE_DETECT,1,0,602,4, 0, 0, 641,Firefox_68_Windows,LARGE
61,DATASET_1,FACE_DETECT,1,0,644,4, 1, 0, 687,Firefox_68_Windows,LARGE
62,DATASET_1,FACE_DETECT,1,0,687,5, 0, 0, 721,Firefox_68_Windows,LARGE
63,DATASET_1,FACE_DETECT,1,0,707,5, 0, 0, 748,Firefox_68_Windows,LARGE
64,DATASET_1,FACE_DETECT,1,0,637,5, 0, 0, 678,Firefox_68_Windows,LARGE
65,DATASET_1,FACE_DETECT,1,0,652,5, 1, 0, 694,Firefox_68_Windows,LARGE
66,DATASET_1,FACE_DETECT,2,0,936,4, 1, 0, 968,Firefox_68_Windows,LARGE
67,DATASET_1,FACE_DETECT,1,0,906,3, 0, 0, 947,Firefox_68_Windows,LARGE
68,DATASET_1,FACE_DETECT,0,0,888,5, 0, 0, 917,Firefox_68_Windows,LARGE
69,DATASET_1,FACE_DETECT,0,0,922,4, 0, 0, 965,Firefox_68_Windows,LARGE
70,DATASET_1,FACE_DETECT,0,0,903,3, 0, 0, 943,Firefox_68_Windows,LARGE
71,DATASET_1,FACE_DETECT,0,0,888,5, 0, 0, 936,Firefox_68_Windows,LARGE
72,DATASET_1,FACE_DETECT,1,0,897,5, 0, 0, 941,Firefox_68_Windows,LARGE
