id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
60,DATASET_3,FACE_DETECT,1,0,528,5, 0, 0, 559,Firefox_68_Windows,LARGE
61,DATASET_3,FACE_DETECT,1,0,536,4, 0, 0, 569,Firefox_68_Windows,LARGE
62,DATASET_3,FACE_DETECT,0,0,547,6, 0, 0, 582,Firefox_68_Windows,LARGE
63,DATASET_3,FACE_DETECT,0,0,618,5, 0, 0, 650,Firefox_68_Windows,LARGE
64,DATASET_3,FACE_DETECT,0,0,796,6, 0, 0, 848,Firefox_68_Windows,LARGE
65,DATASET_3,FACE_DETECT,0,0,787,6, 0, 0, 819,Firefox_68_Windows,LARGE
66,DATASET_3,FACE_DETECT,1,0,772,5, 0, 0, 806,Firefox_68_Windows,LARGE
67,DATASET_3,FACE_DETECT,1,0,774,4, 1, 0, 808,Firefox_68_Windows,LARGE
68,DATASET_3,FACE_DETECT,1,0,800,4, 0, 0, 845,Firefox_68_Windows,LARGE
69,DATASET_3,FACE_DETECT,1,0,799,5, 0, 0, 846,Firefox_68_Windows,LARGE
70,DATASET_3,FACE_DETECT,0,0,838,4, 0, 0, 891,Firefox_68_Windows,LARGE
71,DATASET_3,FACE_DETECT,0,0,859,4, 0, 0, 907,Firefox_68_Windows,LARGE
72,DATASET_3,FACE_DETECT,1,0,796,4, 0, 0, 841,Firefox_68_Windows,LARGE
73,DATASET_3,FACE_DETECT,1,0,784,7, 1, 0, 828,Firefox_68_Windows,LARGE
74,DATASET_3,FACE_DETECT,0,0,814,5, 0, 0, 859,Firefox_68_Windows,LARGE
75,DATASET_3,FACE_DETECT,1,0,861,7, 0, 0, 920,Firefox_68_Windows,LARGE
76,DATASET_3,FACE_DETECT,0,0,812,6, 0, 0, 855,Firefox_68_Windows,LARGE
77,DATASET_3,FACE_DETECT,0,0,821,4, 0, 0, 866,Firefox_68_Windows,LARGE
78,DATASET_3,FACE_DETECT,0,0,817,5, 0, 0, 862,Firefox_68_Windows,LARGE
79,DATASET_3,FACE_DETECT,1,0,893,5, 0, 0, 937,Firefox_68_Windows,LARGE
80,DATASET_3,FACE_DETECT,2,0,1056,5, 0, 0, 1105,Firefox_68_Windows,LARGE
81,DATASET_3,FACE_DETECT,0,0,1805,6, 0, 0, 1853,Firefox_68_Windows,LARGE
82,DATASET_3,FACE_DETECT,1,0,778,4, 0, 0, 819,Firefox_68_Windows,LARGE
83,DATASET_3,FACE_DETECT,2,0,779,4, 0, 0, 819,Firefox_68_Windows,LARGE
84,DATASET_3,FACE_DETECT,1,0,781,5, 0, 0, 824,Firefox_68_Windows,LARGE
85,DATASET_3,FACE_DETECT,1,0,767,5, 0, 0, 808,Firefox_68_Windows,LARGE
86,DATASET_3,FACE_DETECT,1,0,837,4, 0, 0, 887,Firefox_68_Windows,LARGE
87,DATASET_3,FACE_DETECT,0,0,780,4, 0, 0, 827,Firefox_68_Windows,LARGE
88,DATASET_3,FACE_DETECT,0,0,763,5, 0, 0, 827,Firefox_68_Windows,LARGE
89,DATASET_3,FACE_DETECT,0,0,772,5, 0, 0, 829,Firefox_68_Windows,LARGE
90,DATASET_3,FACE_DETECT,0,0,789,4, 0, 0, 831,Firefox_68_Windows,LARGE
91,DATASET_3,FACE_DETECT,0,0,769,4, 0, 0, 810,Firefox_68_Windows,LARGE
92,DATASET_3,FACE_DETECT,1,0,761,5, 0, 0, 803,Firefox_68_Windows,LARGE
93,DATASET_3,FACE_DETECT,1,0,768,7, 0, 0, 812,Firefox_68_Windows,LARGE
94,DATASET_3,FACE_DETECT,0,0,567,4, 0, 0, 609,Firefox_68_Windows,LARGE
95,DATASET_3,FACE_DETECT,0,0,648,7, 0, 0, 689,Firefox_68_Windows,LARGE
96,DATASET_3,FACE_DETECT,0,0,562,4, 0, 0, 607,Firefox_68_Windows,LARGE
97,DATASET_3,FACE_DETECT,0,0,551,4, 0, 0, 600,Firefox_68_Windows,LARGE
98,DATASET_3,FACE_DETECT,0,0,621,4, 0, 0, 665,Firefox_68_Windows,LARGE
99,DATASET_3,FACE_DETECT,0,0,593,4, 0, 0, 641,Firefox_68_Windows,LARGE
100,DATASET_3,FACE_DETECT,0,0,617,9, 0, 0, 666,Firefox_68_Windows,LARGE
101,DATASET_3,FACE_DETECT,0,0,610,5, 0, 0, 660,Firefox_68_Windows,LARGE
102,DATASET_3,FACE_DETECT,0,0,609,5, 0, 0, 655,Firefox_68_Windows,LARGE
103,DATASET_3,FACE_DETECT,0,0,603,5, 0, 0, 653,Firefox_68_Windows,LARGE
104,DATASET_3,FACE_DETECT,0,0,604,5, 0, 0, 635,Firefox_68_Windows,LARGE
105,DATASET_3,FACE_DETECT,1,0,599,5, 0, 0, 634,Firefox_68_Windows,LARGE
106,DATASET_3,FACE_DETECT,1,0,624,6, 0, 0, 662,Firefox_68_Windows,LARGE
107,DATASET_3,FACE_DETECT,0,0,1668,5, 0, 0, 1699,Firefox_68_Windows,LARGE
108,DATASET_3,FACE_DETECT,0,0,678,4, 0, 0, 712,Firefox_68_Windows,LARGE
109,DATASET_3,FACE_DETECT,1,0,673,5, 0, 0, 706,Firefox_68_Windows,LARGE
110,DATASET_3,FACE_DETECT,0,0,676,5, 0, 0, 708,Firefox_68_Windows,LARGE
111,DATASET_3,FACE_DETECT,1,0,672,6, 0, 0, 707,Firefox_68_Windows,LARGE
112,DATASET_3,FACE_DETECT,1,0,663,5, 0, 0, 696,Firefox_68_Windows,LARGE
113,DATASET_3,FACE_DETECT,2,0,753,4, 0, 0, 787,Firefox_68_Windows,LARGE
114,DATASET_3,FACE_DETECT,1,0,662,5, 0, 0, 694,Firefox_68_Windows,LARGE
115,DATASET_3,FACE_DETECT,2,0,670,5, 0, 0, 702,Firefox_68_Windows,LARGE
116,DATASET_3,FACE_DETECT,1,0,654,5, 0, 0, 686,Firefox_68_Windows,LARGE
117,DATASET_3,FACE_DETECT,1,0,649,4, 0, 0, 680,Firefox_68_Windows,LARGE
118,DATASET_3,FACE_DETECT,1,0,650,6, 0, 0, 685,Firefox_68_Windows,LARGE
119,DATASET_3,FACE_DETECT,1,0,663,5, 0, 0, 696,Firefox_68_Windows,LARGE
120,DATASET_3,FACE_DETECT,0,0,654,4, 0, 0, 684,Firefox_68_Windows,LARGE
121,DATASET_3,FACE_DETECT,0,0,674,5, 0, 0, 705,Firefox_68_Windows,LARGE
122,DATASET_3,FACE_DETECT,1,0,675,4, 1, 0, 707,Firefox_68_Windows,LARGE
123,DATASET_3,FACE_DETECT,1,0,662,4, 0, 0, 693,Firefox_68_Windows,LARGE
124,DATASET_3,FACE_DETECT,0,0,685,5, 0, 0, 718,Firefox_68_Windows,LARGE
125,DATASET_3,FACE_DETECT,0,0,632,5, 0, 0, 674,Firefox_68_Windows,LARGE
126,DATASET_3,FACE_DETECT,1,0,640,5, 0, 0, 682,Firefox_68_Windows,LARGE
127,DATASET_3,FACE_DETECT,2,0,620,4, 1, 0, 659,Firefox_68_Windows,LARGE
128,DATASET_3,FACE_DETECT,0,0,710,4, 0, 0, 751,Firefox_68_Windows,LARGE
129,DATASET_3,FACE_DETECT,1,0,646,4, 0, 0, 689,Firefox_68_Windows,LARGE
130,DATASET_3,FACE_DETECT,1,0,660,7, 0, 0, 703,Firefox_68_Windows,LARGE
131,DATASET_3,FACE_DETECT,1,0,703,5, 0, 0, 748,Firefox_68_Windows,LARGE
132,DATASET_3,FACE_DETECT,1,0,719,5, 0, 0, 768,Firefox_68_Windows,LARGE
133,DATASET_3,FACE_DETECT,0,0,1696,4, 0, 0, 1738,Firefox_68_Windows,LARGE
