id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET_1,FACE_DETECT,1,0,338,3, 1, 0, 365,Firefox_68_Windows,MEDIUM
1,DATASET_1,FACE_DETECT,1,0,318,2, 0, 0, 341,Firefox_68_Windows,MEDIUM
2,DATASET_1,FACE_DETECT,1,0,317,1, 0, 0, 335,Firefox_68_Windows,MEDIUM
3,DATASET_1,FACE_DETECT,1,0,311,1, 1, 0, 331,Firefox_68_Windows,MEDIUM
4,DATASET_1,FACE_DETECT,0,0,317,3, 0, 0, 338,Firefox_68_Windows,MEDIUM
5,DATASET_1,FACE_DETECT,0,0,307,2, 0, 0, 327,Firefox_68_Windows,MEDIUM
6,DATASET_1,FACE_DETECT,0,0,314,2, 0, 0, 336,Firefox_68_Windows,MEDIUM
7,DATASET_1,FACE_DETECT,1,0,324,1, 1, 0, 358,Firefox_68_Windows,MEDIUM
8,DATASET_1,FACE_DETECT,0,0,314,2, 0, 0, 349,Firefox_68_Windows,MEDIUM
9,DATASET_1,FACE_DETECT,1,0,320,1, 0, 0, 353,Firefox_68_Windows,MEDIUM
10,DATASET_1,FACE_DETECT,1,0,321,1, 0, 0, 352,Firefox_68_Windows,MEDIUM
11,DATASET_1,FACE_DETECT,0,0,312,1, 0, 0, 345,Firefox_68_Windows,MEDIUM
12,DATASET_1,FACE_DETECT,0,0,327,1, 0, 0, 359,Firefox_68_Windows,MEDIUM
13,DATASET_1,FACE_DETECT,0,0,302,1, 0, 0, 332,Firefox_68_Windows,MEDIUM
14,DATASET_1,FACE_DETECT,1,0,312,2, 0, 0, 345,Firefox_68_Windows,MEDIUM
15,DATASET_1,FACE_DETECT,1,0,326,1, 0, 0, 356,Firefox_68_Windows,MEDIUM
16,DATASET_1,FACE_DETECT,1,0,328,2, 0, 0, 360,Firefox_68_Windows,MEDIUM
17,DATASET_1,FACE_DETECT,1,0,307,2, 0, 0, 340,Firefox_68_Windows,MEDIUM
18,DATASET_1,FACE_DETECT,1,0,347,2, 0, 0, 377,Firefox_68_Windows,MEDIUM
19,DATASET_1,FACE_DETECT,0,0,314,1, 0, 0, 347,Firefox_68_Windows,MEDIUM
20,DATASET_1,FACE_DETECT,1,0,321,2, 0, 0, 356,Firefox_68_Windows,MEDIUM
21,DATASET_1,FACE_DETECT,0,0,316,1, 0, 0, 345,Firefox_68_Windows,MEDIUM
22,DATASET_1,FACE_DETECT,1,0,323,2, 0, 0, 353,Firefox_68_Windows,MEDIUM
23,DATASET_1,FACE_DETECT,0,0,314,2, 0, 0, 349,Firefox_68_Windows,MEDIUM
24,DATASET_1,FACE_DETECT,1,0,341,2, 0, 0, 371,Firefox_68_Windows,MEDIUM
25,DATASET_1,FACE_DETECT,2,0,363,2, 0, 0, 397,Firefox_68_Windows,MEDIUM
26,DATASET_1,FACE_DETECT,2,0,360,2, 1, 0, 393,Firefox_68_Windows,MEDIUM
27,DATASET_1,FACE_DETECT,2,0,348,2, 0, 0, 380,Firefox_68_Windows,MEDIUM
28,DATASET_1,FACE_DETECT,1,0,430,2, 0, 0, 463,Firefox_68_Windows,MEDIUM
29,DATASET_1,FACE_DETECT,1,0,374,2, 1, 0, 404,Firefox_68_Windows,MEDIUM
30,DATASET_1,FACE_DETECT,1,0,377,3, 0, 0, 422,Firefox_68_Windows,MEDIUM
31,DATASET_1,FACE_DETECT,1,0,371,1, 0, 0, 402,Firefox_68_Windows,MEDIUM
32,DATASET_1,FACE_DETECT,1,0,341,1, 0, 0, 371,Firefox_68_Windows,MEDIUM
33,DATASET_1,FACE_DETECT,0,0,350,2, 0, 0, 382,Firefox_68_Windows,MEDIUM
34,DATASET_1,FACE_DETECT,0,0,388,1, 0, 0, 427,Firefox_68_Windows,MEDIUM
35,DATASET_1,FACE_DETECT,1,0,371,1, 0, 0, 392,Firefox_68_Windows,MEDIUM
36,DATASET_1,FACE_DETECT,1,0,387,1, 0, 0, 418,Firefox_68_Windows,MEDIUM
37,DATASET_1,FACE_DETECT,2,0,374,2, 1, 0, 408,Firefox_68_Windows,MEDIUM
38,DATASET_1,FACE_DETECT,2,0,354,1, 0, 0, 385,Firefox_68_Windows,MEDIUM
39,DATASET_1,FACE_DETECT,2,0,374,2, 1, 0, 403,Firefox_68_Windows,MEDIUM
40,DATASET_1,FACE_DETECT,1,0,352,2, 1, 0, 381,Firefox_68_Windows,MEDIUM
