id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET_2,FACE_DETECT,0,0,1758,8, 0, 0, 1883,Chrome_75_Windows,LARGE
1,DATASET_2,FACE_DETECT,1,0,1810,7, 0, 0, 1847,Chrome_75_Windows,LARGE
2,DATASET_2,FACE_DETECT,3,0,1348,3, 0, 0, 1379,Chrome_75_Windows,LARGE
3,DATASET_2,FACE_DETECT,1,0,1468,3, 0, 0, 1539,Chrome_75_Windows,LARGE
4,DATASET_2,FACE_DETECT,2,0,1603,3, 0, 0, 1632,Chrome_75_Windows,LARGE
5,DATASET_2,FACE_DETECT,0,0,1591,3, 0, 0, 1627,Chrome_75_Windows,LARGE
6,DATASET_2,FACE_DETECT,3,0,1724,3, 0, 0, 1762,Chrome_75_Windows,LARGE
7,DATASET_2,FACE_DETECT,1,0,1593,3, 0, 0, 1633,Chrome_75_Windows,LARGE
8,DATASET_2,FACE_DETECT,1,0,1209,3, 0, 0, 1244,Chrome_75_Windows,LARGE
9,DATASET_2,FACE_DETECT,1,0,1217,3, 0, 0, 1259,Chrome_75_Windows,LARGE
10,DATASET_2,FACE_DETECT,1,0,1304,5, 0, 0, 1352,Chrome_75_Windows,LARGE
11,DATASET_2,FACE_DETECT,2,0,1314,4, 0, 0, 1354,Chrome_75_Windows,LARGE
12,DATASET_2,FACE_DETECT,2,0,1300,3, 0, 0, 1340,Chrome_75_Windows,LARGE
13,DATASET_2,FACE_DETECT,1,0,1286,3, 0, 0, 1323,Chrome_75_Windows,LARGE
14,DATASET_2,FACE_DETECT,1,0,1293,3, 0, 0, 1329,Chrome_75_Windows,LARGE
15,DATASET_2,FACE_DETECT,1,0,1274,3, 0, 0, 1314,Chrome_75_Windows,LARGE
16,DATASET_2,FACE_DETECT,1,0,1262,3, 0, 0, 1297,Chrome_75_Windows,LARGE
17,DATASET_2,FACE_DETECT,1,0,1277,3, 0, 0, 1315,Chrome_75_Windows,LARGE
18,DATASET_2,FACE_DETECT,2,0,1375,3, 0, 0, 1411,Chrome_75_Windows,LARGE
19,DATASET_2,FACE_DETECT,2,0,1420,3, 0, 0, 1456,Chrome_75_Windows,LARGE
20,DATASET_2,FACE_DETECT,1,0,1439,3, 0, 0, 1474,Chrome_75_Windows,LARGE
21,DATASET_2,FACE_DETECT,2,0,1428,3, 0, 0, 1458,Chrome_75_Windows,LARGE
22,DATASET_2,FACE_DETECT,1,0,1440,3, 0, 0, 1471,Chrome_75_Windows,LARGE
23,DATASET_2,FACE_DETECT,2,0,1239,3, 0, 0, 1278,Chrome_75_Windows,LARGE
24,DATASET_2,FACE_DETECT,2,0,1254,3, 0, 0, 1292,Chrome_75_Windows,LARGE
25,DATASET_2,FACE_DETECT,3,0,1288,3, 0, 0, 1326,Chrome_75_Windows,LARGE
26,DATASET_2,FACE_DETECT,3,0,1278,3, 0, 0, 1328,Chrome_75_Windows,LARGE
27,DATASET_2,FACE_DETECT,2,0,1290,3, 0, 0, 1324,Chrome_75_Windows,LARGE
28,DATASET_2,FACE_DETECT,2,0,1291,3, 0, 0, 1329,Chrome_75_Windows,LARGE
29,DATASET_2,FACE_DETECT,2,0,1296,3, 0, 0, 1334,Chrome_75_Windows,LARGE
30,DATASET_2,FACE_DETECT,2,0,1308,3, 0, 0, 1343,Chrome_75_Windows,LARGE
31,DATASET_2,FACE_DETECT,2,0,1288,3, 0, 0, 1326,Chrome_75_Windows,LARGE
32,DATASET_2,FACE_DETECT,2,0,1326,3, 0, 0, 1365,Chrome_75_Windows,LARGE
33,DATASET_2,FACE_DETECT,2,0,1285,3, 0, 0, 1325,Chrome_75_Windows,LARGE
34,DATASET_2,FACE_DETECT,2,0,1278,3, 0, 0, 1313,Chrome_75_Windows,LARGE
35,DATASET_2,FACE_DETECT,2,0,1293,3, 0, 0, 1334,Chrome_75_Windows,LARGE
36,DATASET_2,FACE_DETECT,2,0,1310,5, 0, 0, 1361,Chrome_75_Windows,LARGE
37,DATASET_2,FACE_DETECT,2,0,1425,3, 0, 0, 1465,Chrome_75_Windows,LARGE
38,DATASET_2,FACE_DETECT,2,0,1299,3, 0, 0, 1334,Chrome_75_Windows,LARGE
39,DATASET_2,FACE_DETECT,3,0,1260,3, 0, 0, 1298,Chrome_75_Windows,LARGE
40,DATASET_2,FACE_DETECT,3,0,1321,3, 0, 0, 1358,Chrome_75_Windows,LARGE
41,DATASET_2,FACE_DETECT,2,0,1419,3, 0, 0, 1449,Chrome_75_Windows,LARGE
42,DATASET_2,FACE_DETECT,2,0,1486,3, 0, 0, 1503,Chrome_75_Windows,LARGE
43,DATASET_2,FACE_DETECT,2,0,1386,3, 0, 0, 1426,Chrome_75_Windows,LARGE
44,DATASET_2,FACE_DETECT,2,0,1454,4, 0, 0, 1499,Chrome_75_Windows,LARGE
45,DATASET_2,FACE_DETECT,2,0,1423,4, 0, 0, 1493,Chrome_75_Windows,LARGE
46,DATASET_2,FACE_DETECT,2,0,1310,3, 0, 0, 1354,Chrome_75_Windows,LARGE
47,DATASET_2,FACE_DETECT,2,0,1423,5, 0, 0, 1454,Chrome_75_Windows,LARGE
48,DATASET_2,FACE_DETECT,2,0,1374,3, 0, 0, 1390,Chrome_75_Windows,LARGE
49,DATASET_2,FACE_DETECT,0,0,1306,3, 0, 0, 1343,Chrome_75_Windows,LARGE
50,DATASET_2,FACE_DETECT,0,0,1351,3, 0, 0, 1389,Chrome_75_Windows,LARGE
51,DATASET_2,FACE_DETECT,1,0,1296,3, 0, 0, 1333,Chrome_75_Windows,LARGE
52,DATASET_2,FACE_DETECT,0,0,1291,3, 0, 0, 1328,Chrome_75_Windows,LARGE
53,DATASET_2,FACE_DETECT,1,0,1280,3, 0, 0, 1311,Chrome_75_Windows,LARGE
54,DATASET_2,FACE_DETECT,0,0,1333,4, 0, 0, 1374,Chrome_75_Windows,LARGE
55,DATASET_2,FACE_DETECT,0,0,1310,3, 0, 0, 1342,Chrome_75_Windows,LARGE
56,DATASET_2,FACE_DETECT,0,0,1322,3, 0, 0, 1359,Chrome_75_Windows,LARGE
57,DATASET_2,FACE_DETECT,0,0,1322,3, 0, 0, 1358,Chrome_75_Windows,LARGE
58,DATASET_2,FACE_DETECT,1,0,1365,3, 0, 0, 1401,Chrome_75_Windows,LARGE
59,DATASET_2,FACE_DETECT,1,0,1429,3, 0, 0, 1468,Chrome_75_Windows,LARGE
