id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET_2,FACE_DETECT,0,0,657,2, 0, 0, 680,Chrome_75_Windows,MEDIUM
1,DATASET_2,FACE_DETECT,1,0,588,2, 0, 0, 611,Chrome_75_Windows,MEDIUM
2,DATASET_2,FACE_DETECT,1,0,612,2, 0, 0, 634,Chrome_75_Windows,MEDIUM
3,DATASET_2,FACE_DETECT,0,0,641,2, 0, 0, 685,Chrome_75_Windows,MEDIUM
4,DATASET_2,FACE_DETECT,0,0,577,1, 0, 0, 606,Chrome_75_Windows,MEDIUM
5,DATASET_2,FACE_DETECT,0,0,567,1, 0, 0, 594,Chrome_75_Windows,MEDIUM
6,DATASET_2,FACE_DETECT,2,0,598,1, 0, 0, 623,Chrome_75_Windows,MEDIUM
7,DATASET_2,FACE_DETECT,2,0,616,1, 0, 0, 646,Chrome_75_Windows,MEDIUM
8,DATASET_2,FACE_DETECT,1,0,639,1, 0, 0, 667,Chrome_75_Windows,MEDIUM
9,DATASET_2,FACE_DETECT,2,0,578,1, 0, 0, 603,Chrome_75_Windows,MEDIUM
10,DATASET_2,FACE_DETECT,0,0,648,1, 0, 0, 674,Chrome_75_Windows,MEDIUM
11,DATASET_2,FACE_DETECT,0,0,661,1, 0, 0, 686,Chrome_75_Windows,MEDIUM
12,DATASET_2,FACE_DETECT,0,0,632,1, 0, 0, 657,Chrome_75_Windows,MEDIUM
13,DATASET_2,FACE_DETECT,0,0,647,1, 0, 0, 671,Chrome_75_Windows,MEDIUM
14,DATASET_2,FACE_DETECT,0,0,623,1, 0, 0, 648,Chrome_75_Windows,MEDIUM
15,DATASET_2,FACE_DETECT,1,0,704,1, 0, 0, 730,Chrome_75_Windows,MEDIUM
16,DATASET_2,FACE_DETECT,1,0,608,1, 0, 0, 632,Chrome_75_Windows,MEDIUM
17,DATASET_2,FACE_DETECT,0,0,570,1, 0, 0, 596,Chrome_75_Windows,MEDIUM
18,DATASET_2,FACE_DETECT,0,0,599,3, 0, 0, 636,Chrome_75_Windows,MEDIUM
19,DATASET_2,FACE_DETECT,1,0,518,1, 0, 0, 543,Chrome_75_Windows,MEDIUM
20,DATASET_2,FACE_DETECT,1,0,506,1, 0, 0, 527,Chrome_75_Windows,MEDIUM
21,DATASET_2,FACE_DETECT,2,0,510,1, 0, 0, 534,Chrome_75_Windows,MEDIUM
22,DATASET_2,FACE_DETECT,1,0,534,2, 0, 0, 563,Chrome_75_Windows,MEDIUM
23,DATASET_2,FACE_DETECT,2,0,547,1, 0, 0, 573,Chrome_75_Windows,MEDIUM
24,DATASET_2,FACE_DETECT,1,0,547,1, 0, 0, 574,Chrome_75_Windows,MEDIUM
25,DATASET_2,FACE_DETECT,1,0,547,2, 0, 0, 575,Chrome_75_Windows,MEDIUM
26,DATASET_2,FACE_DETECT,1,0,545,1, 0, 0, 573,Chrome_75_Windows,MEDIUM
27,DATASET_2,FACE_DETECT,1,0,552,1, 0, 0, 579,Chrome_75_Windows,MEDIUM
28,DATASET_2,FACE_DETECT,1,0,554,1, 0, 0, 582,Chrome_75_Windows,MEDIUM
29,DATASET_2,FACE_DETECT,2,0,564,1, 0, 0, 592,Chrome_75_Windows,MEDIUM
30,DATASET_2,FACE_DETECT,1,0,569,1, 0, 0, 598,Chrome_75_Windows,MEDIUM
31,DATASET_2,FACE_DETECT,1,0,569,1, 0, 0, 600,Chrome_75_Windows,MEDIUM
32,DATASET_2,FACE_DETECT,3,0,572,1, 0, 0, 598,Chrome_75_Windows,MEDIUM
33,DATASET_2,FACE_DETECT,1,0,587,1, 0, 0, 616,Chrome_75_Windows,MEDIUM
34,DATASET_2,FACE_DETECT,1,0,607,1, 0, 0, 636,Chrome_75_Windows,MEDIUM
35,DATASET_2,FACE_DETECT,1,0,560,1, 0, 0, 588,Chrome_75_Windows,MEDIUM
36,DATASET_2,FACE_DETECT,1,0,616,1, 0, 0, 647,Chrome_75_Windows,MEDIUM
37,DATASET_2,FACE_DETECT,1,0,566,1, 0, 0, 593,Chrome_75_Windows,MEDIUM
38,DATASET_2,FACE_DETECT,1,0,567,1, 0, 0, 597,Chrome_75_Windows,MEDIUM
39,DATASET_2,FACE_DETECT,1,0,592,1, 0, 0, 619,Chrome_75_Windows,MEDIUM
40,DATASET_2,FACE_DETECT,2,0,587,1, 0, 0, 608,Chrome_75_Windows,MEDIUM
41,DATASET_2,FACE_DETECT,3,0,562,1, 0, 0, 584,Chrome_75_Windows,MEDIUM
42,DATASET_2,FACE_DETECT,2,0,549,2, 0, 0, 581,Chrome_75_Windows,MEDIUM
43,DATASET_2,FACE_DETECT,3,0,554,1, 0, 0, 593,Chrome_75_Windows,MEDIUM
44,DATASET_2,FACE_DETECT,3,0,551,1, 0, 0, 579,Chrome_75_Windows,MEDIUM
45,DATASET_2,FACE_DETECT,2,0,545,1, 0, 0, 576,Chrome_75_Windows,MEDIUM
46,DATASET_2,FACE_DETECT,3,0,554,1, 0, 0, 583,Chrome_75_Windows,MEDIUM
47,DATASET_2,FACE_DETECT,3,0,556,1, 0, 0, 584,Chrome_75_Windows,MEDIUM
48,DATASET_2,FACE_DETECT,3,0,553,1, 0, 0, 581,Chrome_75_Windows,MEDIUM
49,DATASET_2,FACE_DETECT,3,0,559,1, 0, 0, 585,Chrome_75_Windows,MEDIUM
50,DATASET_2,FACE_DETECT,3,0,674,1, 0, 0, 703,Chrome_75_Windows,MEDIUM
51,DATASET_2,FACE_DETECT,3,0,557,1, 0, 0, 587,Chrome_75_Windows,MEDIUM
52,DATASET_2,FACE_DETECT,2,0,542,1, 0, 0, 580,Chrome_75_Windows,MEDIUM
53,DATASET_2,FACE_DETECT,3,0,547,1, 0, 0, 573,Chrome_75_Windows,MEDIUM
54,DATASET_2,FACE_DETECT,3,0,547,1, 0, 0, 576,Chrome_75_Windows,MEDIUM
55,DATASET_2,FACE_DETECT,2,0,551,1, 0, 0, 582,Chrome_75_Windows,MEDIUM
56,DATASET_2,FACE_DETECT,2,0,536,1, 0, 0, 566,Chrome_75_Windows,MEDIUM
57,DATASET_2,FACE_DETECT,3,0,533,1, 0, 0, 560,Chrome_75_Windows,MEDIUM
58,DATASET_2,FACE_DETECT,2,0,543,1, 0, 0, 577,Chrome_75_Windows,MEDIUM
59,DATASET_2,FACE_DETECT,3,0,543,1, 0, 0, 576,Chrome_75_Windows,MEDIUM
60,DATASET_2,FACE_DETECT,2,0,548,1, 0, 0, 570,Chrome_75_Windows,MEDIUM
61,DATASET_2,FACE_DETECT,2,0,549,1, 0, 0, 556,Chrome_75_Windows,MEDIUM
62,DATASET_2,FACE_DETECT,2,0,548,1, 0, 0, 576,Chrome_75_Windows,MEDIUM
63,DATASET_2,FACE_DETECT,2,0,544,1, 0, 0, 570,Chrome_75_Windows,MEDIUM
64,DATASET_2,FACE_DETECT,2,0,548,1, 0, 0, 587,Chrome_75_Windows,MEDIUM
65,DATASET_2,FACE_DETECT,2,0,550,1, 0, 0, 581,Chrome_75_Windows,MEDIUM
66,DATASET_2,FACE_DETECT,2,0,554,1, 0, 0, 573,Chrome_75_Windows,MEDIUM
67,DATASET_2,FACE_DETECT,2,0,576,1, 0, 0, 587,Chrome_75_Windows,MEDIUM
68,DATASET_2,FACE_DETECT,0,0,599,1, 0, 0, 638,Chrome_75_Windows,MEDIUM
69,DATASET_2,FACE_DETECT,0,0,540,1, 0, 0, 566,Chrome_75_Windows,MEDIUM
70,DATASET_2,FACE_DETECT,0,0,543,1, 0, 0, 568,Chrome_75_Windows,MEDIUM
71,DATASET_2,FACE_DETECT,0,0,537,1, 0, 0, 566,Chrome_75_Windows,MEDIUM
72,DATASET_2,FACE_DETECT,0,0,534,1, 0, 0, 562,Chrome_75_Windows,MEDIUM
73,DATASET_2,FACE_DETECT,0,0,543,1, 0, 0, 570,Chrome_75_Windows,MEDIUM
74,DATASET_2,FACE_DETECT,0,0,546,1, 0, 0, 572,Chrome_75_Windows,MEDIUM
75,DATASET_2,FACE_DETECT,0,0,536,1, 0, 0, 561,Chrome_75_Windows,MEDIUM
76,DATASET_2,FACE_DETECT,0,0,551,1, 0, 0, 577,Chrome_75_Windows,MEDIUM
77,DATASET_2,FACE_DETECT,0,0,564,1, 0, 0, 590,Chrome_75_Windows,MEDIUM
78,DATASET_2,FACE_DETECT,0,0,570,1, 0, 0, 595,Chrome_75_Windows,MEDIUM
79,DATASET_2,FACE_DETECT,0,0,545,1, 0, 0, 572,Chrome_75_Windows,MEDIUM
80,DATASET_2,FACE_DETECT,0,0,549,1, 0, 0, 577,Chrome_75_Windows,MEDIUM
81,DATASET_2,FACE_DETECT,0,0,550,1, 0, 0, 575,Chrome_75_Windows,MEDIUM
82,DATASET_2,FACE_DETECT,1,0,574,1, 0, 0, 603,Chrome_75_Windows,MEDIUM
83,DATASET_2,FACE_DETECT,0,0,562,1, 0, 0, 585,Chrome_75_Windows,MEDIUM
84,DATASET_2,FACE_DETECT,0,0,559,1, 0, 0, 589,Chrome_75_Windows,MEDIUM
85,DATASET_2,FACE_DETECT,1,0,636,1, 0, 0, 663,Chrome_75_Windows,MEDIUM
86,DATASET_2,FACE_DETECT,0,0,543,1, 0, 0, 578,Chrome_75_Windows,MEDIUM
87,DATASET_2,FACE_DETECT,0,0,545,1, 0, 0, 566,Chrome_75_Windows,MEDIUM
88,DATASET_2,FACE_DETECT,0,0,553,1, 0, 0, 582,Chrome_75_Windows,MEDIUM
89,DATASET_2,FACE_DETECT,0,0,546,1, 0, 0, 572,Chrome_75_Windows,MEDIUM
90,DATASET_2,FACE_DETECT,0,0,553,1, 0, 0, 580,Chrome_75_Windows,MEDIUM
91,DATASET_2,FACE_DETECT,0,0,571,1, 0, 0, 600,Chrome_75_Windows,MEDIUM
92,DATASET_2,FACE_DETECT,0,0,555,1, 0, 0, 581,Chrome_75_Windows,MEDIUM
93,DATASET_2,FACE_DETECT,0,0,556,1, 0, 0, 585,Chrome_75_Windows,MEDIUM
94,DATASET_2,FACE_DETECT,0,0,601,1, 0, 0, 635,Chrome_75_Windows,MEDIUM
95,DATASET_2,FACE_DETECT,0,0,574,1, 0, 0, 601,Chrome_75_Windows,MEDIUM
96,DATASET_2,FACE_DETECT,0,0,580,1, 0, 0, 607,Chrome_75_Windows,MEDIUM
97,DATASET_2,FACE_DETECT,0,0,570,1, 0, 0, 596,Chrome_75_Windows,MEDIUM
98,DATASET_2,FACE_DETECT,0,0,566,1, 0, 0, 595,Chrome_75_Windows,MEDIUM
